Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.37      0.16     0.16     0.00     0.00    10397  <Class::Time>#utc
  0.36      0.15     0.15     0.00     0.00    10437  <Module::SQLite3::Driver::Native::API>#sqlite3_step
  0.35      1.19     0.15     0.00     1.04    20574  ActiveRecord::Base#==
  0.35      0.27     0.15     0.00     0.12    10700  ActiveRecord::Base#column_for_attribute
  0.34      0.38     0.14     0.00     0.24    10437  SQLite3::Driver::Native::Driver#step
  0.34      0.59     0.14     0.00     0.45    10387  ActiveSupport::CoreExtensions::Time::Zones#in_time_zone
  0.33      2.27     0.14     0.00     2.13    20004  ActiveSupport::TimeWithZone#time
  0.32      0.14     0.14     0.00     0.00    62204  <Class::Object>#allocate
  0.32      0.14     0.14     0.00     0.00    63375  Symbol#===
  0.32      8.35     0.14     0.00     8.22       15  SQLite3::ResultSet#each
  0.32      0.18     0.13     0.00     0.05    20779  Set#empty?
  0.31      0.18     0.13     0.00     0.05    10387  ActiveSupport::OrderedHash#[]
  0.28      0.17     0.12     0.00     0.05    10387  ActiveSupport::CoreExtensions::Time::Zones::ClassMethods#get_zone
  0.28      1.00     0.12     0.00     0.88    10002  ActiveSupport::TimeWithZone#formatted_offset
  0.27      0.12     0.12     0.00     0.00    53700  Fixnum#+
  0.27      0.11     0.11     0.00     0.00    52084  Kernel#hash
  0.27      0.23     0.11     0.00     0.12    10002  ActiveSupport::TimeWithZone#zone
  0.25      1.24     0.11     0.00     1.14      121  Array#each-5
  0.25      0.11     0.11     0.00     0.00    10387  ActiveSupport::TimeWithZone#initialize
  0.25      1.47     0.10     0.00     1.37    20958  Kernel#send-12
  0.24      0.13     0.10     0.00     0.02    10002  TZInfo::TimeOrDateTime#+
  0.24      0.15     0.10     0.00     0.05    10387  ActiveSupport::CoreExtensions::Time::Zones::ClassMethods#zone
  0.23      0.10     0.10     0.00     0.00    31407  Kernel#instance_variable_set
  0.22     17.63     0.10     0.00    17.54    20649  Kernel#send-6
  0.22      0.75     0.09     0.00     0.66    10002  ActiveSupport::TimeZone#period_for_utc
  0.22      0.09     0.09     0.00     0.00    20818  ActiveRecord::AttributeMethods::ClassMethods#generated_methods
  0.21      0.62     0.09     0.00     0.53    10002  TZInfo::DataTimezone#period_for_utc
  0.21      0.18     0.09     0.00     0.09    10002  ActiveSupport::TimeWithZone#utc_offset
  0.21      0.13     0.09     0.00     0.04    10387  ActiveRecord::Associations::AssociationProxy#target=
  0.21     17.47     0.09     0.00    17.38       20  ActiveRecord::Associations::AssociationProxy#with_scope-2
  0.21      0.09     0.09     0.00     0.00    10422  SQLite3::Statement#types
  0.21      0.09     0.09     0.00     0.01    10425  SQLite3::Statement#columns
  0.21      0.09     0.09     0.00     0.00    20774  ActiveRecord::Associations::AssociationProxy#target
  0.20      0.19     0.09     0.00     0.11    10425  Kernel#extend
  0.19      0.08     0.08     0.00     0.00    10002  TZInfo::TimeOrDateTime#to_time
  0.19      0.08     0.08     0.00     0.00    10425  Module#extend_object
  0.19      0.08     0.08     0.00     0.00    20947  Regexp#match
  0.18      0.08     0.08     0.00     0.00    32897  Hash#default
  0.18      0.20     0.08     0.00     0.12    10687  ActiveRecord::ConnectionAdapters::Column#text?
  0.18      0.08     0.08     0.00     0.00    10387  Point#initialize
  0.18      0.12     0.08     0.00     0.05    10871  Array#include?
  0.18      0.15     0.07     0.00     0.08    10719  Kernel#dup
