Thread ID: 268020
Total: 42.315561

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#add_order!
  0.00      0.00     0.00     0.00     0.00      185  String#[]
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::AssociationProxy#merge_options_from_reflection!
  0.00      0.00     0.00     0.00     0.00       69  Symbol#to_proc
  0.00      0.00     0.00     0.00     0.00       20  Rational#-
  0.00      0.04     0.00     0.00     0.04       10  <Class::ActiveRecord::Base>#find_every-1
  0.00      0.00     0.00     0.00     0.00       31  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.00     28.21     0.00     0.00    28.21       10  Page(id: integer, url: string, created_at: datetime, updated_at: datetime, position: integer)#chart_for
  0.00      0.00     0.00     0.00     0.00       32  <Class::ActiveRecord::Base>#quoted_table_name
  0.00      0.00     0.00     0.00     0.00       12  ActionView::Template#prepare!
  0.00     42.08     0.00     0.00    42.08       10  ActionController::Benchmarking::ClassMethods#benchmark
  0.00      0.02     0.00     0.00     0.02       20  <Class::ActiveRecord::Base>#replace_bind_variables
  0.00      0.00     0.00     0.00     0.00        9  ActiveRecord::AttributeMethods::ClassMethods#define_read_method
  0.00      0.00     0.00     0.00     0.00       53  Class#new-1
  0.00     17.38     0.00     0.00    17.38       11  <Class::ActiveRecord::Base>#find
  0.00      0.00     0.00     0.00     0.00      209  Float#<=>
  0.00      0.00     0.00     0.00     0.00      107  <Module::ActiveSupport::Dependencies>#log_activity
  0.00     42.09     0.00     0.00    42.09       11  <Module::Benchmark>#realtime-1
  0.00      0.02     0.00     0.00     0.02       56  ActiveSupport::CoreExtensions::String::Inflections#constantize
  0.00      0.00     0.00     0.00     0.00       14  ActiveSupport::Dependencies#to_constant_name
  0.00      0.00     0.00     0.00     0.00      210  Fixnum#div
  0.00      0.00     0.00     0.00     0.00       49  Hash#merge
  0.00      0.05     0.00     0.00     0.05       10  <Class::ActiveRecord::Base>#find-1
  0.00      0.05     0.00     0.00     0.05        7  ActiveSupport::Dependencies#load_file-1
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#add_joins!
  0.00      0.08     0.00     0.00     0.08        4  ActiveSupport::Dependencies#load_missing_constant-1
  0.00      0.00     0.00     0.00     0.00       92  ActiveRecord::Reflection::AssociationReflection#primary_key_name
  0.00      0.00     0.00     0.00     0.00      138  Module#name
  0.00      0.02     0.00     0.00     0.02       21  <Class::ActiveRecord::Base>#merge_conditions
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#initialize
  0.00      0.18     0.00     0.00     0.17        6  ActiveSupport::Dependencies#load_file
  0.00      0.14     0.00     0.00     0.14       31  Module#local_constant_names
  0.00      0.00     0.00     0.00     0.00       20  ActiveSupport::CoreExtensions::String::StartsEndsWith#ends_with?
  0.00      0.00     0.00     0.00     0.00      156  <Class::Regexp>#escape
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Statement#initialize
  0.00      8.42     0.00     0.00     8.42       11  <Module::Benchmark>#realtime-2
  0.00      8.44     0.00     0.00     8.44       12  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.00      0.00     0.00     0.00     0.00        6  ActionView::Helpers::AssetTagHelper#compute_public_path
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#add_group!
  0.00      0.00     0.00     0.00     0.00       24  ActiveRecord::AttributeMethods::ClassMethods#create_time_zone_conversion_attribute?
  0.00      5.37     0.00     0.00     5.37       10  ActiveRecord::AssociationPreload::ClassMethods#preload_associations
  0.00      0.00     0.00     0.00     0.00       20  ActiveSupport::Dependencies#search_for_file
  0.00      0.00     0.00     0.00     0.00       22  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.00      0.00     0.00     0.00     0.00       24  <Class::ActiveSupport::Callbacks::CallbackChain>#build
  0.00      0.00     0.00     0.00     0.00      143  String#to_sym
  0.00      0.00     0.00     0.00     0.00      134  String#<<
  0.00      0.01     0.00     0.00     0.01       13  ActiveSupport::Dependencies#loadable_constants_for_path
  0.00      0.00     0.00     0.00     0.00       29  Object#returning
  0.00      0.00     0.00     0.00     0.00      140  Fixnum#-
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Date::Calculations#advance
  0.00      0.00     0.00     0.00     0.00       12  Kernel#lambda
  0.00      0.00     0.00     0.00     0.00        6  Enumerable#sum
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#merge_includes
  0.00      0.00     0.00     0.00     0.00       25  ActiveSupport::Callbacks::Callback#initialize
  0.00      0.00     0.00     0.00     0.00      119  String#+
  0.00      0.13     0.00     0.00     0.13       10  Chart#y_axis_labels
  0.00      0.00     0.00     0.00     0.00        1  <Module::SQLite3::Driver::Native::API>#sqlite3_close
  0.00      0.00     0.00     0.00     0.00      118  Regexp#===
  0.00      0.00     0.00     0.00     0.00       31  ActiveSupport::CoreExtensions::Hash::Except#except
  0.00     11.08     0.00     0.00    11.08       21  ActiveRecord::ConnectionAdapters::QueryCache#select_all
  0.00      0.01     0.00     0.00     0.01       10  ActionView::PartialTemplate#initialize
  0.00      0.00     0.00     0.00     0.00      147  Kernel#object_id
  0.00      0.00     0.00     0.00     0.00      127  Array#pop
  0.00      0.00     0.00     0.00     0.00       24  ActiveSupport::Inflector#inflections_without_route_reloading
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#simplified_type
  0.00      0.01     0.00     0.00     0.01       10  Time#to_date
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#order_tables
  0.00      0.02     0.00     0.00     0.02       30  Date#civil
  0.00      0.00     0.00     0.00     0.00       69  ActiveRecord::Reflection::MacroReflection#name
  0.00      0.00     0.00     0.00     0.00       12  <Class::File>#lstat
  0.00      0.00     0.00     0.00     0.00       10  ActionView::PartialTemplate#extract_partial_name_and_path
  0.00      0.00     0.00     0.00     0.00       70  ActiveRecord::Base#new_record?
  0.00      0.03     0.00     0.00     0.03       40  ActiveRecord::NamedScope::Scope#scopes-1
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateHandlers::Compilable#template_changed_since?
  0.00     11.84     0.00     0.00    11.84       10  Chart#x_axis_labels
  0.00      0.00     0.00     0.00     0.00       10  Rational#--1
  0.00      0.00     0.00     0.00     0.00       13  HashWithIndifferentAccess#default
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Pragmas#tweak_default
  0.00      0.00     0.00     0.00     0.00       20  <Class::Date>#julian?
  0.00      0.00     0.00     0.00     0.00       87  <Module::SQLite3::Driver::Native::API>#sqlite3_column_name
  0.00      0.00     0.00     0.00     0.00        9  ActiveSupport::Inflector#singularize
  0.00      0.00     0.00     0.00     0.00       87  <Module::SQLite3::Driver::Native::API>#sqlite3_column_decltype
  0.00      0.00     0.00     0.00     0.00       95  String#upcase
  0.00      0.09     0.00     0.00     0.09       15  SQLite3::ResultSet#commence
  0.00      0.00     0.00     0.00     0.00        8  <Class::ActiveRecord::Base>#validate
  0.00      0.00     0.00     0.00     0.00       35  ActiveRecord::ConnectionAdapters::AbstractAdapter#quote_table_name
  0.00      0.00     0.00     0.00     0.00       10  ActionView::PartialTemplate#add_object_to_local_assigns!
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#conditions_tables
  0.00      0.00     0.00     0.00     0.00       30  ActiveSupport::Duration#method_missing
  0.00      0.00     0.00     0.00     0.00       45  ActiveRecord::ConnectionAdapters::SQLiteAdapter#quote_column_name
  0.00      0.00     0.00     0.00     0.00      115  Module#blank_slate_method_added
  0.00      0.00     0.00     0.00     0.00        6  ActionView::Helpers::TagHelper#tag_options
  0.00      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#define_attr_method
  0.00      0.01     0.00     0.00     0.01        4  ActiveRecord::Associations::ClassMethods#has_many
  0.00      0.00     0.00     0.00     0.00       61  NilClass#blank?
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateFinder#pick_template
  0.00      0.00     0.00     0.00     0.00        9  ActiveRecord::NamedScope::ClassMethods#named_scope
  0.00      0.00     0.00     0.00     0.00       32  Kernel#clone
  0.00      0.00     0.00     0.00     0.00       11  Module#parent
  0.00     17.52     0.00     0.00    17.52       42  Kernel#__send__-2
  0.00     42.09     0.00     0.00    42.09       10  ActionView::Partials#render_partial
  0.00      0.02     0.00     0.00     0.02       16  <Class::ActiveRecord::Base>#columns
  0.00      0.00     0.00     0.00     0.00       32  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.00      0.00     0.00     0.00     0.00       24  ActiveSupport::Inflector#inflections
  0.00      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#parse
  0.00      0.00     0.00     0.00     0.00      101  Float#floor
  0.00      0.00     0.00     0.00     0.00       23  Kernel#instance_eval
  0.00      0.00     0.00     0.00     0.00       26  Array#map!
  0.00      0.09     0.00     0.00     0.09       15  SQLite3::ResultSet#initialize
  0.00     28.10     0.00     0.00    28.10       10  <Class::Chart>#for_phrase_counts
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Base#quoted_id
  0.00      0.00     0.00     0.00     0.00        4  ActiveRecord::Associations::ClassMethods#configure_dependency_for_has_many
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateHandlers::Compilable#supports_local_assigns?
  0.00      0.00     0.00     0.00     0.00        4  ActiveRecord::Associations::ClassMethods#add_multiple_associated_save_callbacks
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Driver::Native::Driver#column_count
  0.00      0.00     0.00     0.00     0.00       10  Date#plus_without_duration
  0.00      0.00     0.00     0.00     0.00       21  ActiveRecord::ConnectionAdapters::DatabaseStatements#add_limit_offset!
  0.00      0.01     0.00     0.00     0.01       10  <Class::Date>#ajd_to_jd
  0.00      0.00     0.00     0.00     0.00        1  Hash#each-1
  0.00      0.00     0.00     0.00     0.00       13  <Class::ActionView::Template>#template_handler_extensions
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Statement#close
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Driver::Native::Driver#finalize
  0.00      0.00     0.00     0.00     0.00        7  Mime::Type::AcceptItem#initialize
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#include_eager_order?
  0.00      0.00     0.00     0.00     0.00       46  <Module::ActiveSupport::Dependencies>#constant_watch_stack
  0.00      0.00     0.00     0.00     0.00       13  ActionView::TemplateFinder#pick_template_extension
  0.00     42.08     0.00     0.00    42.08       10  ActionView::PartialTemplate#render
  0.00      0.00     0.00     0.00     0.00       10  Set#initialize
  0.00      0.00     0.00     0.00     0.00       85  Module#method_undefined
  0.00      0.00     0.00     0.00     0.00       78  Array#+
  0.00      0.00     0.00     0.00     0.00       10  ActionView::PartialTemplate#partial_pieces
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::Dependencies#qualified_name_for
  0.00      0.00     0.00     0.00     0.00       13  ActionView::TemplateFinder#find_template_extension_from_handler
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#include_eager_conditions?
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#finder_needs_type_condition?
  0.00      0.01     0.00     0.00     0.01       10  Rational#divmod
  0.00      0.00     0.00     0.00     0.00       76  Array#concat
  0.00      0.00     0.00     0.00     0.00        6  Class#inherited
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::AssociationPreload::ClassMethods#append_conditions
  0.00     17.48     0.00     0.00    17.48       10  ActiveRecord::NamedScope::Scope#method_missing-2
  0.00      0.00     0.00     0.00     0.00       10  Rational#coerce
  0.00     42.32     0.00     0.00    42.32        1  ActionController::Integration::Session#process
  0.00      0.00     0.00     0.00     0.00       83  <Class::Array>#allocate
  0.00      0.00     0.00     0.00     0.00       17  HashWithIndifferentAccess#convert_key
  0.00      0.00     0.00     0.00     0.00       18  <Module::SQLite3::Error>#check
  0.00      0.00     0.00     0.00     0.00       82  Array#size
  0.00      0.00     0.00     0.00     0.00       25  ActiveSupport::CoreExtensions::String::Inflections#underscore
  0.00      0.00     0.00     0.00     0.00       34  Array#compact
  0.00     17.49     0.00     0.00    17.49       10  ActiveRecord::NamedScope::Scope#method_missing-1
  0.00      0.00     0.00     0.00     0.00       21  ActiveSupport::BufferedLogger#debug
  0.00      2.60     0.00     0.00     2.60       10  ActiveRecord::AssociationPreload::ClassMethods#preload_one_association
  0.00      0.00     0.00     0.00     0.00       76  Object#initialize
  0.00      0.00     0.00     0.00     0.00        7  Class#write_inheritable_hash
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#extract_scale
  0.00      0.00     0.00     0.00     0.00        9  ActiveRecord::ConnectionAdapters::Column#type_cast_code
  0.00      0.00     0.00     0.00     0.00       63  <Class::Time>#allocate
  0.00      0.00     0.00     0.00     0.00        1  CGI#header
  0.00      0.00     0.00     0.00     0.00       61  NilClass#to_s
  0.00      0.00     0.00     0.00     0.00       21  ActiveSupport::BufferedLogger#debug?
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#validate_find_options
  0.00      0.00     0.00     0.00     0.00       80  String#length
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Driver::Native::Driver#prepare
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#references_eager_loaded_tables?
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Numeric::Time#weeks
  0.00      0.00     0.00     0.00     0.00       20  <Class::ActiveRecord::Base>#raise_if_bind_arity_mismatch
  0.00      0.01     0.00     0.00     0.01       10  <Class::Date>#jd_to_ajd
  0.00      0.00     0.00     0.00     0.00       41  <Class::PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)>#table_name
  0.00      0.00     0.00     0.00     0.00        2  ActiveRecord::Associations::ClassMethods#belongs_to
  0.00      0.00     0.00     0.00     0.00       11  Mime::Type::AcceptItem#<=>
  0.00      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#reset_table_name
  0.00      0.00     0.00     0.00     0.00       37  Array#slice!
  0.00      0.00     0.00     0.00     0.00       10  ERB::Util#h
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#include_eager_select?
  0.00      0.00     0.00     0.00     0.00       30  ActiveSupport::Duration#initialize
  0.00      0.00     0.00     0.00     0.00       11  Module#append_features
  0.00      0.00     0.00     0.00     0.00       16  Array#collect-1
  0.00      0.00     0.00     0.00     0.00       38  <Module::ActiveSupport::Dependencies>#load_paths
  0.00      0.00     0.00     0.00     0.00       10  ActionView::PartialTemplate#initialize_counter
  0.00      0.00     0.00     0.00     0.00       63  Time#initialize
  0.00      0.00     0.00     0.00     0.00        7  Set#merge
  0.00      0.00     0.00     0.00     0.00       20  Class#new!
  0.00      0.10     0.00     0.00     0.10        6  Class#const_missing
  0.00      0.00     0.00     0.00     0.00        3  SQLite3::Pragmas#version_compare
  0.00      0.04     0.00     0.00     0.04       10  ActiveSupport::CoreExtensions::Time::Calculations#minus_without_coercion
  0.00     42.10     0.00     0.00    42.10       21  Kernel#send-3
  0.00      0.04     0.00     0.00     0.04       10  ActiveSupport::CoreExtensions::Time::Calculations#-
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Date::Calculations#+
  0.00      0.00     0.00     0.00     0.00        8  Mime::Type#==
  0.00      0.00     0.00     0.00     0.00       57  Array#initialize
  0.00      0.00     0.00     0.00     0.00       12  <Class::ActionView::Template>#handler_class_for_extension
  0.00      0.01     0.00     0.00     0.01        4  ActiveRecord::Associations::ClassMethods#collection_accessor_methods
  0.00      0.00     0.00     0.00     0.00       14  Array#uniq!
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Numeric::Time#hours
  0.00      0.00     0.00     0.00     0.00        4  ActiveSupport::Dependencies#autoloaded?
  0.00      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47app47views47layouts47application46html46erb
  0.00      0.00     0.00     0.00     0.00       20  Integer#to_r
  0.00      0.00     0.00     0.00     0.00       14  ActionView::Base#template_format
  0.00      0.00     0.00     0.00     0.00       20  <Class::ActiveSupport::Duration>#===
  0.00      5.14     0.00     0.00     5.14       10  Object#tap
  0.00     10.87     0.00     0.00    10.87       12  ActiveRecord::ConnectionAdapters::SQLiteAdapter#select
  0.00     42.16     0.00     0.00    42.16        1  ActionController::Benchmarking#perform_action_without_rescue
  0.00      0.00     0.00     0.00     0.00        6  ActiveRecord::Reflection::ClassMethods#create_reflection
  0.00      0.03     0.00     0.00     0.03       10  ActiveRecord::Associations::AssociationCollection#initialize
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::OrderedHash#[]=
  0.00      0.00     0.00     0.00     0.00       48  String#downcase
  0.00      0.00     0.00     0.00     0.00       10  Page(id: integer, url: string, created_at: datetime, updated_at: datetime, position: integer)#url
  0.00      0.58     0.00     0.00     0.58       10  Enumerable#group_by
  0.00      8.44     0.00     0.00     8.44       12  ActiveRecord::ConnectionAdapters::SQLiteAdapter#catch_schema_changes
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Base#quote_value
  0.00      0.00     0.00     0.00     0.00       34  <Module::ActiveSupport::Dependencies>#loaded
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Numeric::Time#days
  0.00      0.00     0.00     0.00     0.00       31  <Class::Page(id: integer, url: string, created_at: datetime, updated_at: datetime, position: integer)>#primary_key
  0.00      0.00     0.00     0.00     0.00       45  Array#*
  0.00      0.00     0.00     0.00     0.00       20  ActiveRecord::ConnectionAdapters::Quoting#quoted_date
  0.00      0.00     0.00     0.00     0.00       13  HashWithIndifferentAccess#include?
  0.00      0.00     0.00     0.00     0.00        6  Enumerable#sum-1
  0.00      0.02     0.00     0.00     0.02       10  Date#__31681__
  0.00      0.00     0.00     0.00     0.00       33  <Module::ActiveSupport::Dependencies>#autoloaded_constants
  0.00      0.00     0.00     0.00     0.00        6  ActionView::Helpers::AssetTagHelper#compute_asset_host
  0.00      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#active_connection_name
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateHandler#compilable?
  0.00      0.00     0.00     0.00     0.00       56  Array#blank?
  0.00      0.00     0.00     0.00     0.00       13  ActiveSupport::Dependencies#load_once_path?
  0.00      0.00     0.00     0.00     0.00       59  Fixnum#>=
  0.00      0.00     0.00     0.00     0.00        2  ActionController::Layout::ClassMethods#inherited_without_helper
  0.00      0.00     0.00     0.00     0.00       13  ActiveSupport::Dependencies#load?
  0.00      0.02     0.00     0.00     0.02       10  Date#jd
  0.00      0.00     0.00     0.00     0.00       53  NilClass#nil?
  0.00      0.00     0.00     0.00     0.00       30  <Class::ActionController::Base>#logger
  0.00      0.00     0.00     0.00     0.00       15  <Module::SQLite3::Driver::Native::API>#sqlite3_finalize
  0.00      0.00     0.00     0.00     0.00        1  String#each_line
  0.00      0.03     0.00     0.00     0.03        4  <Class::ActiveRecord::Base>#retrieve_connection
  0.00     17.50     0.00     0.00    17.50       20  Kernel#__send__-3
  0.00     17.47     0.00     0.00    17.47       20  Kernel#__send__-6
  0.00      0.00     0.00     0.00     0.00        4  Module#parents
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateFinder#path_and_extension
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::AssociationProxy#conditions
  0.00      0.00     0.00     0.00     0.00       37  Module#ancestors
  0.00      0.00     0.00     0.00     0.00       42  Kernel#remove_instance_variable
  0.00      0.00     0.00     0.00     0.00       48  Time#to_f
  0.00     17.49     0.00     0.00    17.49       20  Kernel#send-7
  0.00      0.02     0.00     0.00     0.01       10  Date#__31281__
  0.00      0.00     0.00     0.00     0.00        1  <Module::SQLite3::Driver::Native::API>#sqlite3_open
  0.00     17.37     0.00     0.00    17.37       20  Kernel#send-10
  0.00     17.49     0.00     0.00    17.49       20  Kernel#__send__-5
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::ClassMethods#selects_tables
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateHandlers::Compilable#compile_template
  0.00      0.00     0.00     0.00     0.00       12  ActiveRecord::AttributeMethods::ClassMethods#define_question_method
  0.00      0.00     0.00     0.00     0.00        7  Array#|
  0.00      1.21     0.00     0.00     1.21       10  Chart#points
  0.00     17.49     0.00     0.00    17.49       20  Kernel#__send__-4
  0.00      0.00     0.00     0.00     0.00       20  Date#initialize
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::AssociationProxy#sanitize_sql
  0.00      0.00     0.00     0.00     0.00        7  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.00      0.00     0.00     0.00     0.00        3  Module#instance_methods
  0.00      0.00     0.00     0.00     0.00        1  Digest::Base#update
  0.00     17.52     0.00     0.00    17.52       11  ActiveRecord::NamedScope::Scope#load_found
  0.00      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#constantize-1
  0.00     42.12     0.00     0.00    42.12        1  ActionController::Layout#render_without_benchmark
  0.00     17.38     0.00     0.00    17.38       20  Kernel#send-9
  0.00      0.01     0.00     0.00     0.01       10  Chart#chart_colors
  0.00      0.00     0.00     0.00     0.00       12  <Class::ActiveRecord::Base>#serialized_attributes
  0.00      0.00     0.00     0.00     0.00       41  Float#coerce
  0.00      0.00     0.00     0.00     0.00       15  SQLite3::Statement#active?
  0.00      0.02     0.00     0.00     0.02        3  SQLite3::Pragmas#table_info
  0.00     17.48     0.00     0.00    17.48       20  Kernel#send-8
  0.00      0.06     0.00     0.00     0.06        8  ActiveSupport::Dependencies#depend_on-1
  0.00      0.00     0.00     0.00     0.00       26  <Class::Phrase(id: integer, text: string, created_at: datetime, updated_at: datetime)>#primary_key
  0.00      0.00     0.00     0.00     0.00        4  ActiveRecord::Associations::ClassMethods#create_has_many_reflection
  0.00      0.00     0.00     0.00     0.00       24  ActionView::Base#method_names
  0.00      0.10     0.00     0.00     0.10        5  ActiveSupport::Callbacks::Callback#evaluate_method
  0.00      0.11     0.00     0.00     0.11       10  Chart#chart_legend
  0.00      0.00     0.00     0.00     0.00        4  ActiveRecord::Associations::ClassMethods#add_multiple_associated_validation_callbacks
  0.00      0.00     0.00     0.00     0.00       26  <Class::PhraseCount(id: integer, phrase_id: integer, page_id: integer, count: integer, created_at: datetime, updated_at: datetime)>#primary_key
  0.00      1.29     0.00     0.00     1.29       10  ActiveRecord::AssociationPreload::ClassMethods#set_association_single_records
  0.00      0.00     0.00     0.00     0.00        6  ActiveRecord::AttributeMethods::ClassMethods#define_write_method
  0.00      0.00     0.00     0.00     0.00       14  <Class::ActionController::Base>#master_helper_module
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#extract_limit
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge!
  0.00      0.00     0.00     0.00     0.00        3  ActiveSupport::Inflector#pluralize
  0.00      0.00     0.00     0.00     0.00        3  ActiveRecord::Base#id
  0.00      0.02     0.00     0.00     0.02        2  ActionController::Helpers::ClassMethods#default_helper_module!
  0.00      0.02     0.00     0.00     0.02        2  ActiveRecord::AttributeMethods#method_missing
  0.00      0.00     0.00     0.00     0.00       10  Rational#to_i
  0.00      0.00     0.00     0.00     0.00       24  <Class::ActiveSupport::Inflector::Inflections>#instance
  0.00      0.00     0.00     0.00     0.00       11  Module#blankslate_original_append_features
  0.00     17.50     0.00     0.00    17.50       10  ActiveRecord::NamedScope::Scope#with_scope-1
  0.00      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#before_save
  0.00      0.02     0.00     0.00     0.02       10  Date#year
  0.00      0.00     0.00     0.00     0.00        7  ActionController::AbstractRequest#ssl?
  0.00      0.00     0.00     0.00     0.00        1  CGI::Session#initialize_without_cgi_reader
  0.00      0.00     0.00     0.00     0.00       34  String#include?
  0.00      0.00     0.00     0.00     0.00       21  String#squeeze
  0.00      0.00     0.00     0.00     0.00        3  ActiveRecord::Validations::ClassMethods#validates_presence_of
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#extract_default
  0.00      0.00     0.00     0.00     0.00       24  ActionView::Template#method_key
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::AssociationCollection#reset
  0.00     42.08     0.00     0.00    42.08       10  ActionView::Template#render_template-1
  0.00      0.00     0.00     0.00     0.00       11  Module#include
  0.00      0.00     0.00     0.00     0.00       13  <Class::ActionView::TemplateFinder>#template_handler_extensions
  0.00      0.00     0.00     0.00     0.00       15  ActiveRecord::ConnectionAdapters::Column#extract_precision
  0.00      0.00     0.00     0.00     0.00       12  ActionView::TemplateFinder#find_base_path_for
  0.00      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#handle_conditional_get!
  0.00      0.00     0.00     0.00     0.00        9  ActiveRecord::AttributeMethods::ClassMethods#cached_attributes
  0.00      0.00     0.00     0.00     0.00       21  <Class::ActiveRecord::Base>#colorize_logging
  0.00      8.43     0.00     0.00     8.43       12  SQLite3::Database#execute
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Reflection::ClassMethods#reflections
  0.00      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::AbstractAdapter#verify!
  0.00      0.00     0.00     0.00     0.00        4  ActiveRecord::Associations::ClassMethods#collection_reader_method
  0.00      0.00     0.00     0.00     0.00       24  <Class::ActiveRecord::Base>#skip_time_zone_conversion_for_attributes
  0.00     10.87     0.00     0.00    10.87       12  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all_without_query_cache
  0.00      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#class_of_active_record_descendant
  0.00      0.00     0.00     0.00     0.00       10  Date#month
  0.00      0.00     0.00     0.00     0.00       28  String#tr
  0.00      0.00     0.00     0.00     0.00       24  <Class::ActiveRecord::Base>#time_zone_aware_attributes
  0.00      8.44     0.00     0.00     8.44       12  ActiveRecord::ConnectionAdapters::SQLiteAdapter#execute
  0.00     17.52     0.00     0.00    17.52       11  ActiveRecord::NamedScope::Scope#proxy_found
  0.00      0.00     0.00     0.00     0.00       10  ActionView::Helpers::TagHelper#escape_once
  0.00      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.00      0.00     0.00     0.00     0.00       10  Date#day
  0.00      0.00     0.00     0.00     0.00       22  ActionController::Base#request
  0.00      0.00     0.00     0.00     0.00       10  ActiveRecord::Associations::AssociationCollection#reset_target!
  0.00      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::Base>#subclasses-1
  0.00      0.00     0.00     0.00     0.00        9  ActionController::Helpers::ClassMethods#add_template_helper
  0.00      0.00     0.00     0.00     0.00       10  <Class::#<Class:0x18eaa84>>#new
  0.00      0.00     0.00     0.00     0.00       10  ActiveSupport::CoreExtensions::Time::Calculations::ClassMethods#utc_time
  0.00      0.00     0.00     0.00     0.00       34  Kernel#freeze
  0.00      0.00     0.00     0.00     0.00        2  Class#inherited_without_layout
  0.00      0.00     0.00     0.00     0.00       26  Array#flatten!
  0.00      0.00     0.00     0.00     0.00        3  ActiveRecord::Reflection::AssociationReflection#derive_primary_key_name
  0.00     17.50     0.00     0.00    17.50       10  ActiveRecord::NamedScope::Scope#with_scope-2
  0.00      0.00     0.00     0.00     0.00       28  Hash#update
  0.00     42.08     0.00     0.00    42.08       10  ActionView::Base#execute-1
